"doi","retracted"
"10.1002/cne.23182",TRUE
"10.1002/chem.201905126",TRUE
"10.1002/cjce.21943",TRUE
"10.1002/cjoc.201290034",TRUE
"10.1002/clc.20818",TRUE
"10.1002/cpe.4709",TRUE
"10.1002/cpe.4716",TRUE
"10.1002/cpe.4718",TRUE
"10.1002/cpe.5513",TRUE
"10.1002/cpe.5560",TRUE
"10.1002/cpe.5562",TRUE
"10.1002/cpe.4710",TRUE
"10.1002/eat.22940",TRUE
"10.1002/cphc.201601318",TRUE
"10.1002/cphc.201781431",TRUE
"10.1002/dvdy.24236",TRUE
"10.1002/cphc.201402614",TRUE
"10.1002/cta.2157",TRUE
"10.1002/dvg.22383",TRUE
"10.1002/cphc.201500333",TRUE
"10.1002/ejic.200900091",TRUE
"10.1002/eco.2067",TRUE
"10.1002/ece3.1786",TRUE
"10.1002/ece3.1855",TRUE
"10.1002/eji.200737952",TRUE
"10.1002/eji.200637002",TRUE
"10.1002/ejlt.201100290",TRUE
"10.1002/ejic.200901020",TRUE
"10.1002/er.4026",TRUE
"10.1002/ejoc.201001176",TRUE
"10.1002/ejsp.390",TRUE
"10.1002/ejsp.491",TRUE
"10.1002/embr.201470010",TRUE
"10.1002/ejsp.310",TRUE
"10.1002/ejsp.361",TRUE
"10.1002/ejsp.369",TRUE
"10.1002/ente.201300165",TRUE
"10.1002/ejoc.201000251",TRUE
"10.1002/ejoc.201300466",TRUE
"10.1002/ejsp.2173",TRUE
"10.1002/ejsp.2175",TRUE
"10.1002/ejsp.783",TRUE
"10.1002/er.3134",TRUE
"10.1002/ejsp.569",TRUE
"10.1002/ejsp.591",TRUE
"10.1002/ente.201700155",TRUE
"10.1002/fsn3.1189",TRUE
"10.1002/esp.4111",TRUE
"10.1002/etc.2859",TRUE
"10.1002/evan.21460",TRUE
"10.1002/evan.21532",TRUE
"10.1002/ese3.247",TRUE
"10.1002/glia.20736",TRUE
"10.1002/gj.2685",TRUE
"10.1002/fsn3.603",TRUE
"10.1002/hep.28893",TRUE
"10.1002/glia.22600",TRUE
"10.1002/hec.3490",TRUE
"10.1002/glia.23257",TRUE
"10.1002/hec.3527",TRUE
"10.1002/gps.2047",TRUE
"10.1002/gps.3845",TRUE
"10.1002/hed.24900",TRUE
"10.1002/hep.26505",TRUE
"10.1002/hed.24754",TRUE
"10.1002/hed.23756",TRUE
"10.1002/hep.22213",TRUE
"10.1002/hep.25506",TRUE
"10.1002/hon.2185",TRUE
"10.1002/hfm.20272",TRUE
"10.1002/hfm.20274",TRUE
"10.1002/hfm.20286",TRUE
"10.1002/hfm.20297",TRUE
"10.1002/hfm.20298",TRUE
"10.1002/hfm.20300",TRUE
"10.1002/hfm.20311",TRUE
"10.1002/hfm.20313",TRUE
"10.1002/hfm.20340",TRUE
"10.1002/hfm.20348",TRUE
"10.1002/hfm.20507",TRUE
"10.1002/hfm.20216",TRUE
"10.1002/hfm.20091",TRUE
"10.1002/ijc.23590",TRUE
"10.1002/hpm.1025",TRUE
"10.1002/ijc.21389",TRUE
"10.1002/ijc.21427",TRUE
"10.1002/ijc.22332",TRUE
"10.1002/ijc.20711",TRUE
"10.1002/ijc.20784",TRUE
"10.1002/ijc.22077",TRUE
"10.1002/hup.1276",TRUE
"10.1002/ieam.1699",TRUE
"10.1002/hup.2622",TRUE
"10.1002/ijc.21589",TRUE
"10.1002/ijc.22403",TRUE
"10.1002/ijc.22534",TRUE
"10.1002/hon.2330",TRUE
"10.1002/humu.21649",TRUE
"10.1002/iir.178",TRUE
"10.1002/ijc.10569",TRUE
"10.1002/ijc.20896",TRUE
"10.1002/ijc.20917",TRUE
"10.1002/ijc.23091",TRUE
"10.1002/ijc.23107",TRUE
"10.1002/ijc.23610",TRUE
"10.1002/ijc.24572",TRUE
"10.1002/ijc.30718",TRUE
"10.1002/ijc.24257",TRUE
"10.1002/ijc.25589",TRUE
"10.1002/ijc.25658",TRUE
"10.1002/ijc.25131",TRUE
"10.1002/ijc.25178",TRUE
"10.1002/ijc.30829",TRUE
"10.1002/jbmr.1832",TRUE
"10.1002/ijc.30923",TRUE
"10.1002/iub.1660",TRUE
"10.1002/j.2161-1920.2015.00052.x",TRUE
"10.1002/jbio.201700354",TRUE
"10.1002/ijch.201290016",TRUE
"10.1002/jat.1168",TRUE
"10.1002/jbio.201890133",TRUE
"10.1002/jbm.b.31590",TRUE
"10.1002/ijc.32130",TRUE
"10.1002/ird.497",TRUE
"10.1002/iub.1328",TRUE
"10.1002/jbm.b.33080",TRUE
"10.1002/iub.1570",TRUE
"10.1002/jbmr.1872",TRUE
"10.1002/jbmr.2866",TRUE
"10.1002/jbmr.2725",TRUE
"10.1002/jbmr.2910",TRUE
"10.1002/jcb.25020",TRUE
"10.1002/jcb.24523",TRUE
"10.1002/jcb.21155",TRUE
"10.1002/jcb.22115",TRUE
"10.1002/jcb.23396",TRUE
"10.1002/jcb.24169",TRUE
"10.1002/jcb.26113",TRUE
"10.1002/jcb.25583",TRUE
"10.1002/jcb.25585",TRUE
"10.1002/jcb.25586",TRUE
"10.1002/jcb.25587",TRUE
"10.1002/jcb.25588",TRUE
"10.1002/jcc.23134",TRUE
"10.1002/jcb.26549",TRUE
"10.1002/jcb.26634",TRUE
"10.1002/jcc.21526",TRUE
"10.1002/jcb.26711",TRUE
"10.1002/jcb.28335",TRUE
"10.1002/jcb.26414",TRUE
"10.1002/jcp.20646",TRUE
"10.1002/jcp.21015",TRUE
"10.1002/jcp.21030",TRUE
"10.1002/jctb.3950",TRUE
"10.1002/jcp.21062",TRUE
"10.1002/jcp.25416",TRUE
"10.1002/jcp.25417",TRUE
"10.1002/jctb.3754",TRUE
"10.1002/jcp.23049",TRUE
"10.1002/jcp.23050",TRUE
"10.1002/jctb.2202",TRUE
"10.1002/jcph.1012",TRUE
"10.1002/jcp.25353",TRUE
"10.1002/jcp.26340",TRUE
"10.1002/jcp.26387",TRUE
"10.1002/jcp.23060",TRUE
"10.1002/jcp.24007",TRUE
"10.1002/jcp.26066",TRUE
"10.1002/jgt.22143",TRUE
"10.1002/jgm.1038",TRUE
"10.1002/jgm.983",TRUE
"10.1002/jgm.2967",TRUE
"10.1002/jgrd.53010",TRUE
"10.1002/jgrd.54397",TRUE
"10.1002/jez.b.21323",TRUE
"10.1002/jmv.21376",TRUE
"10.1002/job.2365",TRUE
"10.1002/jnr.10615",TRUE
"10.1002/jnr.23043",TRUE
"10.1002/jnm.2309",TRUE
"10.1002/jnm.2535",TRUE
"10.1002/jnr.22532",TRUE
"10.1002/jnm.2204",TRUE
"10.1002/jrs.2222",TRUE
"10.1002/job.1942",TRUE
"10.1002/jps.21888",TRUE
"10.1002/job.653",TRUE
"10.1002/jobm.200800097",TRUE
"10.1002/joc.3627",TRUE
"10.1002/jobm.201500107",TRUE
"10.1002/jobm.201500135",TRUE
"10.1002/jso.20908",TRUE
"10.1002/jsfa.2367",TRUE
"10.1002/jsfa.6492",TRUE
"10.1002/kin.20861",TRUE
"10.1002/jts.22067",TRUE
"10.1002/jum.14236",TRUE
"10.1002/kin.20885",TRUE
"10.1002/maco.201408190",TRUE
"10.1002/lsm.22508",TRUE
"10.1002/lno.10529",TRUE
"10.1002/maco.200905452",TRUE
"10.1002/lsm.20260",TRUE
"10.1002/med.20189",TRUE
"10.1002/mana.200310289",TRUE
"10.1002/mc.22282",TRUE
"10.1002/mc.22357",TRUE
"10.1002/mana.201700219",TRUE
"10.1002/mats.201300117",TRUE
"10.1002/mbo3.770",TRUE
"10.1002/mds.20825",TRUE
"10.1002/mats.201370028",TRUE
"10.1002/mar.20375",TRUE
"10.1002/mar.20565",TRUE
"10.1002/mds.20658",TRUE
"10.1002/mds.27592",TRUE
"10.1002/mds.26699",TRUE
"10.1002/mop.23809",TRUE
"10.1002/mma.803",TRUE
"10.1002/mma.850",TRUE
"10.1002/mop.22199",TRUE
"10.1002/mop.22764",TRUE
"10.1002/mop.22794",TRUE
"10.1002/mop.25068",TRUE
"10.1002/mop.24269",TRUE
"10.1002/mop.25292",TRUE
"10.1002/mop.24925",TRUE
"10.1002/mp.12825",TRUE
"10.1002/mop.29259",TRUE
"10.1002/mop.29260",TRUE
"10.1002/mop.29331",TRUE
"10.1002/mop.25370",TRUE
"10.1002/nme.2384",TRUE
"10.1002/mp.13166",TRUE
"10.1002/nme.2392",TRUE
"10.1002/pca.1311",TRUE
"10.1002/oa.1266",TRUE
"10.1002/open.201780541",TRUE
"10.1002/path.1117",TRUE
"10.1002/pbc.24583",TRUE
"10.1002/path.4179",TRUE
"10.1002/path.1369",TRUE
"10.1002/oby.21077",TRUE
"10.1002/oby.21856",TRUE
"10.1002/oti.245",TRUE
"10.1002/pc.22360",TRUE
"10.1002/pen.21650",TRUE
"10.1002/pds.1165",TRUE
"10.1002/pds.3208",TRUE
"10.1002/pds.1434",TRUE
"10.1002/pds.1505",TRUE
"10.1002/pchj.157",TRUE
"10.1002/pchj.184",TRUE
"10.1002/pmic.200401129",TRUE
"10.1002/pi.2076",TRUE
"10.1002/pmic.201100126",TRUE
"10.1002/pmic.200700148",TRUE
"10.1002/pmic.200700695",TRUE
"10.1002/pmrj.12233",TRUE
"10.1002/pmic.201370065",TRUE
"10.1002/prot.22610",TRUE
"10.1002/ppap.200950007",TRUE
"10.1002/pros.20963",TRUE
"10.1002/ppap.200600086",TRUE
"10.1002/ppap.201100084",TRUE
"10.1002/pros.22529",TRUE
"10.1002/poc.1683",TRUE
"10.1002/prot.24661",TRUE
"10.1002/prot.24679",TRUE
"10.1002/ps.1250",TRUE
"10.1002/ptr.2150",TRUE
"10.1002/psc.2484",TRUE
"10.1002/ptr.1682",TRUE
"10.1002/pssa.200776344",TRUE
"10.1002/ptr.1941",TRUE
"10.1002/ptr.1964",TRUE
"10.1002/pssb.200743055",TRUE
"10.1002/pssb.200301951",TRUE
"10.1002/ptr.2151",TRUE
"10.1002/ptr.2157",TRUE
"10.1002/ptr.2228",TRUE
"10.1002/ptr.2437",TRUE
"10.1002/ptr.2444",TRUE
"10.1002/ptr.2468",TRUE
"10.1002/ptr.2835",TRUE
"10.1002/smll.201090089",TRUE
"10.1002/sim.7997",TRUE
"10.1002/rmv.603",TRUE
"10.1002/ptr.4910",TRUE
"10.1002/sia.5705",TRUE
"10.1002/sia.5707",TRUE
"10.1002/smj.1951",TRUE
"10.1002/ptr.3461",TRUE
"10.1002/qua.24016",TRUE
"10.1002/sia.2079",TRUE
"10.1002/sim.7315",TRUE
"10.1002/smj.2015",TRUE
"10.1002/rmv.1863",TRUE
"10.1002/rmv.1944",TRUE
"10.1002/srin.201000191",TRUE
"10.1002/smll.201970008",TRUE
"10.1002/sres.2120",TRUE
"10.1002/smll.201704464",TRUE
"10.1002/tect.20689",TRUE
"10.1002/stem.1051",TRUE
"10.1002/suco.201600113",TRUE
"10.1002/srin.201100102",TRUE
"10.1002/stem.1591",TRUE
"10.1002/we.2194",TRUE
"10.1002/term.444",TRUE
"10.1002/tox.22393",TRUE
"10.1002/tox.22493",TRUE
"10.1002/vnl.21341",TRUE
"10.1002/tox.20565",TRUE
"10.1002/vnl.21604",TRUE
"10.1006/aphy.2002.6289",TRUE
"10.1006/anbe.2003.2271",TRUE
"10.1002/we.1605",TRUE
"10.1002/wer.1049",TRUE
"10.1006/anbe.2003.2138",TRUE
"10.1006/anbe.2003.2199",TRUE
"10.1006/bbrc.1997.7931",TRUE
"10.1006/bbrc.1997.7260",TRUE
"10.1006/bbrc.2001.5537",TRUE
"10.1006/bbrc.2001.5190",TRUE
"10.1006/bbrc.1999.1622",TRUE
"10.1006/exnr.2002.7968",TRUE
"10.1006/clim.2001.5065",TRUE
"10.1006/jtbi.1996.0320",TRUE
"10.1006/jema.2001.0468",TRUE
"10.1006/jesp.1997.9997",TRUE
"10.1006/jmbi.2000.3924",TRUE
"10.1006/obhd.1998.2802",TRUE
"10.1006/mchj.1999.1723",TRUE
"10.1007/bf01235662",TRUE
"10.1006/pupt.2002.0384",TRUE
"10.1006/pupt.2002.0393",TRUE
"10.1006/pupt.2002.0395",TRUE
"10.1007/bf01232794",TRUE
"10.1007/112_2012_9",TRUE
"10.1007/bf02823929",TRUE
"10.1007/bf01242793",TRUE
"10.1007/bf02514644",TRUE
"10.1007/bf02514655",TRUE
"10.1007/bf02190689",TRUE
"10.1007/bf02471386",TRUE
"10.1007/bf02704367",TRUE
"10.1007/bf02427950",TRUE
"10.1007/bf02437531",TRUE
"10.1007/bf02479949",TRUE
"10.1007/bf02480074",TRUE
"10.1007/bf02482037",TRUE
"10.1007/bf02482063",TRUE
"10.1007/bf02784559",TRUE
"10.1007/bf03012299",TRUE
"10.1007/bf03012096",TRUE
"10.1007/bf02856689",TRUE
"10.1007/bf03012704",TRUE
"10.1007/bf03016688",TRUE
"10.1007/bf03013255",TRUE
"10.1007/bf03013260",TRUE
"10.1007/bf03013130",TRUE
"10.1007/bf03013138",TRUE
"10.1007/bf03013157",TRUE
"10.1007/bf03028212",TRUE
"10.1007/bf03019488",TRUE
"10.1007/bf03018364",TRUE
"10.1007/bf03018390",TRUE
"10.1007/bf03017425",TRUE
"10.1007/bf03017799",TRUE
"10.1007/bf03017895",TRUE
"10.1007/bf03016073",TRUE
"10.1007/bf03027746",TRUE
"10.1007/bf03027820",TRUE
"10.1007/bf03027872",TRUE
"10.1007/bf03018995",TRUE
"10.1007/bf03019230",TRUE
"10.1007/bf03016525",TRUE
"10.1007/bf03019810",TRUE
"10.1007/bf03019875",TRUE
"10.1007/bf03043816",TRUE
"10.1007/bf03027029",TRUE
"10.1007/s00044-010-9421-3",TRUE
"10.1007/s00018-015-2020-1",TRUE
"10.1007/s00033-016-0630-6",TRUE
"10.1007/bf03342548",TRUE
"10.1007/s00005-012-0163-4",TRUE
"10.1007/s00040-007-0964-3",TRUE
"10.1007/bf03324916",TRUE
"10.1007/s00025-012-0244-z",TRUE
"10.1007/s00028-010-0076-9",TRUE
"10.1007/s00038-018-1099-1",TRUE
"10.1007/s00011-015-0853-6",TRUE
"10.1007/s00018-013-1376-3",TRUE
"10.1007/s00034-019-01202-1",TRUE
"10.1007/bf03179259",TRUE
"10.1007/bf03190475",TRUE
"10.1007/s00028-019-00488-7",TRUE
"10.1007/bf03324589",TRUE
"10.1007/s00006-014-0461-5",TRUE
"10.1007/s00013-018-1244-3",TRUE
"10.1007/s00044-010-9456-5",TRUE
"10.1007/s00044-013-0866-z",TRUE
"10.1007/s00044-014-1023-z",TRUE
"10.1007/s00044-012-0163-2",TRUE
"10.1007/s00109-011-0723-9",TRUE
"10.1007/s00101-013-2230-6",TRUE
"10.1007/s00101-018-0513-7",TRUE
"10.1007/s00044-017-1974-y",TRUE
"10.1007/s00104-017-0386-3",TRUE
"10.1007/s00059-017-4673-z",TRUE
"10.1007/s00101-011-1863-6",TRUE
"10.1007/s00115-010-3061-1",TRUE
"10.1007/s00113-005-0932-1",TRUE
"10.1007/s00115-010-3062-0",TRUE
"10.1007/s00120-009-2118-x",TRUE
"10.1007/s00115-011-3300-0",TRUE
"10.1007/s00115-013-3855-z",TRUE
"10.1007/s00125-013-2911-3",TRUE
"10.1007/s00125-005-1766-7",TRUE
"10.1007/s00120-012-3008-1",TRUE
"10.1007/s00125-007-0723-z",TRUE
"10.1007/s00125-011-2125-5",TRUE
"10.1007/s00125-010-1831-8",TRUE
"10.1007/s00125-013-2949-2",TRUE
"10.1007/s00167-014-3457-8",TRUE
"10.1007/s00127-010-0309-9",TRUE
"10.1007/s00132-013-2169-y",TRUE
"10.1007/s00132-014-2254-x",TRUE
"10.1007/s00134-002-1435-y",TRUE
"10.1007/s00134-006-0409-x",TRUE
"10.1007/s00167-009-0982-y",TRUE
"10.1007/s00128-012-0718-4",TRUE
"10.1007/s00134-003-1702-6",TRUE
"10.1007/s00134-008-1287-1",TRUE
"10.1007/s00153-017-0554-7",TRUE
"10.1007/s00161-016-0552-8",TRUE
"10.1007/s00161-017-0563-0",TRUE
"10.1007/s00132-015-3148-2",TRUE
"10.1007/s00134-003-2110-7",TRUE
"10.1007/s00134-012-2481-8",TRUE
"10.1007/s00170-013-5031-9",TRUE
"10.1007/s00170-005-0395-0",TRUE
"10.1007/s00170-012-4497-1",TRUE
"10.1007/s00170-009-2393-0",TRUE
"10.1007/s00167-015-3909-9",TRUE
"10.1007/s00170-009-2061-4",TRUE
"10.1007/s00204-014-1388-2",TRUE
"10.1007/s00170-015-6997-2",TRUE
"10.1007/s00170-018-2590-9",TRUE
"10.1007/s00198-008-0727-7",TRUE
"10.1007/s00193-017-0776-y",TRUE
"10.1007/s00198-011-1865-x",TRUE
"10.1007/s00253-014-6274-6",TRUE
"10.1007/s00210-008-0287-6",TRUE
"10.1007/s00228-018-2595-1",TRUE
"10.1007/s00253-002-1062-0",TRUE
"10.1007/s00213-016-4284-z",TRUE
"10.1007/s00223-002-1024-7",TRUE
"10.1007/s00229-015-0796-9",TRUE
"10.1007/s00234-015-1535-3",TRUE
"10.1007/s00248-011-9893-9",TRUE
"10.1007/s00208-012-0866-1",TRUE
"10.1007/s00213-006-0582-1",TRUE
"10.1007/s00213-011-2371-8",TRUE
"10.1007/s00223-001-1054-6",TRUE
"10.1007/s00232-015-9849-y",TRUE
"10.1007/s00233-015-9706-4",TRUE
"10.1007/s00233-015-9763-8",TRUE
"10.1007/s00234-013-1162-9",TRUE
"10.1007/s00253-004-1814-0",TRUE
"10.1007/s00253-012-4013-4",TRUE
"10.1007/s00204-016-1747-2",TRUE
"10.1007/s00208-015-1296-7",TRUE
"10.1007/s00232-012-9430-x",TRUE
"10.1007/s00232-012-9449-z",TRUE
"10.1007/s00233-012-9423-1",TRUE
"10.1007/s00249-012-0881-x",TRUE
"10.1007/s00249-012-0882-9",TRUE
"10.1007/s00253-012-4347-y",TRUE
"10.1007/s00246-018-1902-z",TRUE
"10.1007/s00210-008-0302-y",TRUE
"10.1007/s002210100827",TRUE
"10.1007/s00246-012-0561-8",TRUE
"10.1007/s00247-018-4125-9",TRUE
"10.1007/s00264-007-0341-x",TRUE
"10.1007/s00256-014-1995-2",TRUE
"10.1007/s00259-013-2401-3",TRUE
"10.1007/s00262-007-0431-z",TRUE
"10.1007/s00253-015-6453-0",TRUE
"10.1007/s00253-015-6717-8",TRUE
"10.1007/s00261-008-9451-1",TRUE
"10.1007/s00338-015-1257-3",TRUE
"10.1007/s00270-008-9326-4",TRUE
"10.1007/s00280-004-0907-x",TRUE
"10.1007/s00294-015-0553-3",TRUE
"10.1007/s00296-009-1201-3",TRUE
"10.1007/s00296-011-2321-0",TRUE
"10.1007/s00299-011-1071-5",TRUE
"10.1007/s00268-010-0426-3",TRUE
"10.1007/s00270-007-9192-5",TRUE
"10.1007/s00299-007-0460-2",TRUE
"10.1007/s00266-007-9033-6",TRUE
"10.1007/s00266-007-9108-4",TRUE
"10.1007/s00266-008-9118-x",TRUE
"10.1007/s00267-013-0225-3",TRUE
"10.1007/s00280-015-2802-z",TRUE
"10.1007/s00289-009-0093-4",TRUE
"10.1007/s00296-011-2202-6",TRUE
"10.1007/s00296-011-2247-6",TRUE
"10.1007/s00296-011-2305-0",TRUE
"10.1007/s00266-006-0062-3",TRUE
"10.1007/s00289-010-0313-y",TRUE
"10.1007/s00266-010-9499-5",TRUE
"10.1007/s00299-009-0732-0",TRUE
"10.1007/s00371-009-0407-4",TRUE
"10.1007/s00347-014-3071-7",TRUE
"10.1007/s00366-016-0441-6",TRUE
"10.1007/s00345-007-0190-7",TRUE
"10.1007/s00345-007-0202-7",TRUE
"10.1007/s00348-016-2115-y",TRUE
"10.1007/s00371-011-0635-2",TRUE
"10.1007/s00340-016-6392-1",TRUE
"10.1007/s00366-008-0118-x",TRUE
"10.1007/s00339-007-4148-9",TRUE
"10.1007/s00362-010-0346-1",TRUE
"10.1007/s00402-010-1103-6",TRUE
"10.1007/s00380-016-0878-y",TRUE
"10.1007/s00395-017-0604-7",TRUE
"10.1007/s00402-007-0350-7",TRUE
"10.1007/s00382-015-2682-2",TRUE
"10.1007/s00383-019-04447-8",TRUE
"10.1007/s00381-014-2383-x",TRUE
"10.1007/s00382-009-0713-6",TRUE
"10.1007/s00380-011-0165-x",TRUE
"10.1007/s00382-014-2150-4",TRUE
"10.1007/s00392-015-0913-5",TRUE
"10.1007/s00395-012-0318-9",TRUE
"10.1007/s00402-014-1963-2",TRUE
"10.1007/s00404-011-1842-9",TRUE
"10.1007/s00403-006-0732-7",TRUE
"10.1007/s00429-016-1324-8",TRUE
"10.1007/s00408-013-9509-x",TRUE
"10.1007/s00415-017-8478-z",TRUE
"10.1007/s00417-018-4020-y",TRUE
"10.1007/s00419-012-0629-1",TRUE
"10.1007/s00408-006-0085-1",TRUE
"10.1007/s00405-014-3328-4",TRUE
"10.1007/s004150050252",TRUE
"10.1007/s00417-016-3551-3",TRUE
"10.1007/s00408-014-9631-4",TRUE
"10.1007/s00408-014-9639-9",TRUE
"10.1007/s00415-015-7958-2",TRUE
"10.1007/s00419-011-0536-x",TRUE
"10.1007/s00405-019-05368-x",TRUE
"10.1007/s00411-011-0355-z",TRUE
"10.1007/s00419-013-0765-2",TRUE
"10.1007/s00421-010-1525-4",TRUE
"10.1007/s00425-016-2606-3",TRUE
"10.1007/s00405-008-0766-x",TRUE
"10.1007/s00417-014-2798-9",TRUE
"10.1007/s00432-013-1492-3",TRUE
"10.1007/s00432-009-0582-8",TRUE
"10.1007/s00432-010-0804-0",TRUE
"10.1007/s00436-018-6010-8",TRUE
"10.1007/s00435-013-0214-3",TRUE
"10.1007/s00432-012-1267-2",TRUE
"10.1007/s00436-013-3663-1",TRUE
"10.1007/s00432-014-1660-0",TRUE
"10.1007/s00432-015-1945-y",TRUE
"10.1007/s00432-013-1466-5",TRUE
"10.1007/s00436-011-2663-2",TRUE
"10.1007/s00436-016-5348-z",TRUE
"10.1007/s00455-008-9165-0",TRUE
"10.1007/s00442-008-1091-1",TRUE
"10.1007/s00449-012-0750-0",TRUE
"10.1007/s00438-015-1006-x",TRUE
"10.1007/s00441-015-2319-0",TRUE
"10.1007/s00438-012-0710-z",TRUE
"10.1007/s00464-010-1193-9",TRUE
"10.1007/s00464-007-9647-4",TRUE
"10.1007/s00464-009-0657-2",TRUE
"10.1007/s00540-006-0468-8",TRUE
"10.1007/s00484-012-0561-7",TRUE
"10.1007/s00521-012-0920-7",TRUE
"10.1007/s00521-012-0921-6",TRUE
"10.1007/s00521-012-0955-9",TRUE
"10.1007/s00521-012-0983-5",TRUE
"10.1007/s00521-012-0984-4",TRUE
"10.1007/s00521-012-0986-2",TRUE
"10.1007/s00477-014-0901-8",TRUE
"10.1007/s00521-012-1159-z",TRUE
"10.1007/s00521-012-0834-4",TRUE
"10.1007/s00521-012-0857-x",TRUE
"10.1007/s00521-012-0865-x",TRUE
"10.1007/s00521-014-1756-0",TRUE
"10.1007/s00521-016-2691-z",TRUE
"10.1007/s00534-008-1331-0",TRUE
"10.1007/s00467-011-1882-1",TRUE
"10.1007/s00521-012-1318-2",TRUE
"10.1007/s00521-013-1387-x",TRUE
"10.1007/s00526-011-0439-2",TRUE
